epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12282.7,0.33979,0.94247,0.92498,0.96691,0.95844,0.98046,0.96482,0.19021,0.71178,0.80845,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12664.1,0.33649,0.93801,0.92426,0.96364,0.96323,0.9802,0.96582,0.18752,0.68508,0.80651,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13043.7,0.33543,0.92198,0.92638,0.96897,0.95995,0.98274,0.96831,0.18724,0.66424,0.80715,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13415.5,0.32525,0.89033,0.91973,0.95819,0.96514,0.98219,0.96806,0.18325,0.68382,0.80487,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,13788.4,0.32268,0.88153,0.91988,0.97025,0.9678,0.98276,0.96978,0.18123,0.65726,0.80361,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,14167.2,0.32108,0.86874,0.91827,0.97147,0.96121,0.98258,0.96885,0.18192,0.66628,0.80383,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,14546.6,0.31611,0.83898,0.91779,0.96358,0.96747,0.98085,0.96678,0.18205,0.68263,0.80507,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,14924.6,0.31089,0.82324,0.91565,0.97069,0.96289,0.98039,0.96691,0.17836,0.66326,0.80155,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,15301.5,0.30713,0.81518,0.91208,0.97099,0.96622,0.98302,0.96999,0.17672,0.64587,0.80089,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,15675.2,0.21486,0.56601,0.84607,0.96573,0.97011,0.98462,0.97234,0.17165,0.61683,0.79701,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16039.6,0.20953,0.54447,0.84411,0.97155,0.97269,0.98667,0.97427,0.16811,0.5844,0.79351,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,16397.9,0.20236,0.52353,0.83684,0.96979,0.96891,0.98349,0.97164,0.16412,0.5953,0.79104,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,16761.5,0.19838,0.50939,0.8365,0.96936,0.97228,0.98653,0.97507,0.1631,0.58381,0.79073,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17135.6,0.19331,0.48859,0.83108,0.97244,0.97023,0.98594,0.97463,0.16112,0.57147,0.78961,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,17497.3,0.18832,0.47713,0.83109,0.97336,0.97386,0.98626,0.97516,0.16014,0.55168,0.78934,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,17856.5,0.18328,0.46004,0.82657,0.97551,0.97346,0.98767,0.97708,0.15883,0.52608,0.7879,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,18217.1,0.1776,0.43998,0.82694,0.9769,0.97289,0.98867,0.97847,0.15727,0.51448,0.78711,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,18578.5,0.17259,0.42832,0.82396,0.97705,0.9735,0.98771,0.97747,0.15554,0.51495,0.78645,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,18952.6,0.16926,0.41419,0.82288,0.97733,0.9741,0.98722,0.97693,0.15432,0.51591,0.78593,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
