epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.91,0.79285,1.57974,1.30573,0.7926,0.66554,0.74823,0.41226,1.65435,4.9389,2.18776,0.00499374,0.00499374,0.0051189
2,1185.43,0.78484,1.72092,1.23849,0.90772,0.94098,0.97912,0.7865,0.80741,2.14008,1.34498,0.00485074,0.00485074,0.00485074
3,1774.59,0.75884,1.64145,1.20869,0.91111,0.87469,0.95807,0.72072,0.9587,2.6524,1.54697,0.00442096,0.00442096,0.00442096
4,2362.69,0.73873,1.56008,1.20235,0.92254,0.94935,0.98324,0.77989,0.87833,2.00828,1.43012,0.0037625,0.0037625,0.0037625
5,2946.78,0.72357,1.50482,1.18858,0.9428,0.95681,0.98273,0.82057,0.7431,2.27564,1.23193,0.00295478,0.00295478,0.00295478
6,3533.77,0.69951,1.43335,1.17923,0.94933,0.95303,0.9812,0.8336,0.70209,2.27693,1.21582,0.00209522,0.00209522,0.00209522
7,4119.48,0.66964,1.32895,1.15642,0.96639,0.96127,0.988,0.832,0.73358,1.70438,1.25971,0.0012875,0.0012875,0.0012875
8,4703.99,0.65736,1.2849,1.14675,0.97024,0.9659,0.98881,0.8368,0.7082,1.53481,1.22529,0.00062904,0.00062904,0.00062904
9,5288.89,0.65223,1.24758,1.14436,0.96649,0.97617,0.98995,0.83642,0.71821,1.38948,1.23116,0.000199261,0.000199261,0.000199261
