epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,8911.99,0.5287,0.39131,1.00393,0.97725,0.98896,0.99035,0.96858,0.24616,0.20521,0.83035,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,9197.01,0.52939,0.39315,1.00666,0.97899,0.98122,0.99102,0.96944,0.2422,0.18843,0.81605,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,9482.18,0.52289,0.38266,1.00244,0.98777,0.98011,0.99111,0.96622,0.24739,0.18399,0.82226,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,9766.36,0.51449,0.38048,0.99998,0.98493,0.98352,0.99105,0.96957,0.22122,0.17579,0.81418,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,10051.6,0.51009,0.37331,1.00198,0.98813,0.98859,0.9912,0.97644,0.22354,0.1837,0.8228,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,10336.8,0.50255,0.37497,0.99689,0.9857,0.98981,0.99175,0.97255,0.23127,0.20136,0.81938,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,10620.7,0.50371,0.3741,0.99642,0.97985,0.9867,0.9917,0.97381,0.21708,0.17371,0.81787,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,10905.3,0.49045,0.36799,0.98917,0.9823,0.98673,0.99192,0.97261,0.22811,0.16356,0.81564,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,11188.5,0.48829,0.35691,0.98994,0.98831,0.98297,0.9916,0.97397,0.21839,0.16841,0.81273,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,11472.1,0.47824,0.35704,0.98232,0.9829,0.98676,0.99167,0.97273,0.23245,0.16796,0.81211,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,11755.7,0.47773,0.3543,0.98605,0.98605,0.99119,0.99154,0.97525,0.19889,0.16182,0.80543,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,12039.4,0.47179,0.35701,0.98233,0.98608,0.98557,0.99169,0.97439,0.20983,0.1654,0.81199,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,12323.6,0.46255,0.3431,0.97504,0.98393,0.98383,0.98771,0.97189,0.21514,0.17263,0.8085,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,12607.7,0.46213,0.34702,0.97419,0.98211,0.9875,0.98964,0.97197,0.20716,0.16351,0.8096,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,12891.6,0.46024,0.35639,0.97689,0.98794,0.98819,0.99189,0.97667,0.20782,0.16116,0.8094,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,13176.4,0.45198,0.34285,0.97417,0.98202,0.99254,0.99125,0.97679,0.20473,0.16008,0.80964,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,13465,0.44882,0.33817,0.97131,0.98572,0.98814,0.98935,0.9762,0.20279,0.15539,0.80529,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,13749.7,0.44514,0.3431,0.97009,0.9816,0.99039,0.98966,0.97591,0.18999,0.15129,0.80123,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,14034.2,0.43792,0.33192,0.96677,0.98468,0.99173,0.98793,0.97294,0.19413,0.15949,0.80398,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,14318.2,0.43617,0.32668,0.96553,0.98432,0.98969,0.99002,0.97742,0.19088,0.14871,0.80069,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,14603.9,0.43048,0.32515,0.9629,0.98892,0.9833,0.98996,0.97652,0.19154,0.15099,0.80131,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14887.3,0.4295,0.32172,0.9616,0.98688,0.98625,0.99124,0.97799,0.2028,0.16109,0.81556,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,15172.1,0.41574,0.31854,0.9545,0.98304,0.98935,0.99167,0.97748,0.19004,0.15321,0.8023,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,15455.8,0.42136,0.31638,0.96019,0.98375,0.98839,0.99009,0.97862,0.17824,0.13915,0.79706,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,15740.5,0.41571,0.31492,0.9566,0.98829,0.98985,0.99096,0.97844,0.18038,0.14493,0.79925,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,16024.9,0.41904,0.32018,0.95898,0.99122,0.98612,0.98981,0.97744,0.17967,0.1394,0.79497,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,16308.6,0.41458,0.3096,0.95669,0.98855,0.98364,0.98743,0.97492,0.17588,0.14082,0.79487,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,16592.6,0.41798,0.31692,0.95984,0.98268,0.98699,0.98978,0.97884,0.17342,0.14415,0.7963,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,16877.6,0.40825,0.31136,0.95486,0.98797,0.98859,0.98911,0.9789,0.16236,0.13631,0.7912,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,17163.2,0.40373,0.30344,0.94873,0.98633,0.98879,0.99123,0.98116,0.17662,0.13572,0.79668,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,17448.7,0.39955,0.30476,0.9508,0.98832,0.98979,0.98934,0.97927,0.17708,0.131,0.79795,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,17732.5,0.39989,0.30098,0.94698,0.99032,0.99075,0.99101,0.97926,0.17526,0.13166,0.79663,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,18017.3,0.39204,0.29614,0.94406,0.98589,0.99224,0.98984,0.97863,0.16783,0.13778,0.79393,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,18302,0.39349,0.29741,0.94844,0.98179,0.99518,0.98938,0.97957,0.16934,0.1318,0.79463,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,18586.9,0.39439,0.29501,0.94398,0.98523,0.98996,0.98924,0.97892,0.17472,0.13526,0.79348,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
