epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11593.4,0.34874,0.37965,0.92759,0.96204,0.94414,0.97651,0.96183,0.17993,0.26041,0.8015,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
33,11952.7,0.34459,0.37536,0.92662,0.96706,0.93432,0.97397,0.95875,0.17983,0.26866,0.80101,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
34,12307.4,0.34454,0.37386,0.92875,0.96987,0.94295,0.97777,0.96299,0.17758,0.25134,0.80009,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
35,12662.6,0.33887,0.36273,0.92379,0.95304,0.94834,0.97568,0.96226,0.17413,0.26211,0.79828,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
36,13016.9,0.33968,0.36347,0.92575,0.93721,0.96122,0.97558,0.96175,0.17278,0.25077,0.79778,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
37,13373.3,0.33702,0.35848,0.92359,0.96557,0.94768,0.97615,0.96271,0.17032,0.24989,0.79814,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
38,13730.1,0.33137,0.35007,0.92193,0.96291,0.94639,0.97789,0.96416,0.16858,0.24874,0.79563,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
39,14085.2,0.32928,0.34127,0.92065,0.95843,0.9526,0.97552,0.96344,0.1671,0.24626,0.79504,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
40,14440.3,0.32917,0.33978,0.91857,0.96276,0.95582,0.97837,0.96514,0.16632,0.23498,0.79572,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
41,14794,0.32787,0.34049,0.92109,0.95495,0.95662,0.97934,0.96728,0.16461,0.23294,0.79408,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
